method,seed,episode,step,action,selected_beam,oracle_action,oracle_beam,los_beam,oracle_action_match,measured_reward,true_reward,oracle_true_reward,oracle_reward_gap,true_rate,oracle_true_rate,oracle_rate_gap,true_outage,true_beam_success,rate,outage,beam_success,los_flag,reflection_ratio,num_available_paths,dominant_path_type,planning_latency_ms,latency_ms,fallback_triggered,guard_triggered,policy_confidence,policy_margin,policy_entropy,planner_value,planner_terminal_value,planner_beam_gain_value,planner_score_gap,planner_score_std,planner_candidates,planner_los_recovery_gate,planner_los_recovery_bias_max,planner_los_recovery_bias_chosen,planner_los_guard_used,planner_predictive_fallback_used,shortlist_size,shortlist_local_size,shortlist_global_fallback_count,shortlist_los_reserved,shortlist_reflection_reserved,shortlist_prev_beam_kept,shortlist_max_los_prob,shortlist_max_reflection_prob,shortlist_max_beam_gain,shortlist_beam_gain_weight,shortlist_blockage_hint,shortlist_reflection_hint,shortlist_used_global_pool,shortlist_base_pool_size
Reactive,0,0,25,16,16,16,16,16,1.0,5.200116907846421,4.995954412948785,4.995954412948785,0.0,4.995954412948785,4.995954412948785,0.0,0.0,1.0,5.200116907846421,0.0,1.0,1.0,0.11230283192589353,5,los,0.002874998244806193,0.002874998244806193,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,26,16,16,16,16,16,1.0,5.433378471228206,5.103008491465678,5.103008491465678,0.0,5.103008491465678,5.103008491465678,0.0,0.0,1.0,5.433378471228206,0.0,1.0,1.0,0.11264827746753098,5,los,0.002833001417457126,0.002833001417457126,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,27,16,16,16,16,16,1.0,4.969312407606634,5.210774758419029,5.210774758419029,0.0,5.210774758419029,5.210774758419029,0.0,0.0,1.0,4.969312407606634,0.0,1.0,1.0,0.11299051350501224,5,los,0.0027079986466560513,0.0027079986466560513,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,28,16,16,16,16,16,1.0,5.833919941993999,5.319144278900306,5.319144278900306,0.0,5.319144278900306,5.319144278900306,0.0,0.0,1.0,5.833919941993999,0.0,1.0,1.0,0.11332851570547323,5,los,0.0026670004444895312,0.0026670004444895312,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,29,15,15,16,16,16,0.0,-1.429938464975785,-1.4705737726646777,5.427995313913357,6.898569086578035,0.6794262273353222,5.427995313913357,4.748569086578034,1.0,0.0,0.7200615350242151,1.0,0.0,1.0,0.11366109019778642,5,los,0.0028329995984677225,0.0028329995984677225,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,30,16,16,16,16,16,1.0,5.519745043429551,5.387190949060152,5.387190949060152,0.0,5.537190949060152,5.537190949060152,0.0,0.0,1.0,5.669745043429551,0.0,1.0,1.0,0.11398687979275288,5,los,0.003041999661945738,0.003041999661945738,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,31,16,16,16,16,16,1.0,5.783999393946211,5.646578800083078,5.646578800083078,0.0,5.646578800083078,5.646578800083078,0.0,0.0,1.0,5.783999393946211,0.0,1.0,1.0,0.11430428433142518,5,los,0.003041999661945738,0.003041999661945738,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,32,16,16,16,16,16,1.0,6.03596703171002,5.755986614519484,5.755986614519484,0.0,5.755986614519484,5.755986614519484,0.0,0.0,1.0,6.03596703171002,0.0,1.0,1.0,0.11461150947721305,5,los,0.0027500009309733286,0.0027500009309733286,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,33,16,16,16,16,16,1.0,4.923489831151905,5.865221976389441,5.865221976389441,0.0,5.865221976389441,5.865221976389441,0.0,0.0,1.0,4.923489831151905,0.0,1.0,1.0,0.11490646476360115,5,los,0.00291700052912347,0.00291700052912347,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,34,16,16,16,16,16,1.0,5.8088649709444455,5.974068863024561,5.974068863024561,0.0,5.974068863024561,5.974068863024561,0.0,0.0,1.0,5.8088649709444455,0.0,1.0,1.0,0.11518675711141338,5,los,0.002749999111983925,0.002749999111983925,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
