sweep,scenario,scenario_order,scenario_value,method,average_rate_mean,average_rate_std,outage_prob_mean,outage_prob_std,beam_success_rate_mean,beam_success_rate_std,average_return_mean,average_return_std,planning_latency_ms_mean,planning_latency_ms_std
blocker_speed,2x,3,2.0,Oracle,6.088206120553052,0.4919611665490048,0.0005,0.0015,0.9195,0.016116761461286194,6.068643620553053,0.4922288704791168,1.574681145737486,0.29155164841950365
blocker_speed,2x,3,2.0,ProposedV2,4.912915080407915,0.4643619414694146,0.07475000000000001,0.027544282528321553,0.78975,0.029217931138258234,4.723965080407915,0.5061617255748738,0.29886371948850865,0.09425886766592112
blocker_speed,2x,3,2.0,Reactive,5.0168321519735155,0.4250126939480274,0.09625000000000002,0.031932546093288584,0.7547499999999999,0.032151010870577625,4.7708946519735145,0.48089273094457663,0.0028335130200503045,8.809913005223093e-05
obs_noise,0,0,0.0,BeliefAwareRollout,5.245180010774213,0.516203423403944,0.05550000000000001,0.031260998064681175,0.8434999999999999,0.03643830402200411,5.105417510774213,0.5630436002939954,0.6957592699491215,0.2050478646732394
obs_noise,0,0,0.0,OneStepPredictive,4.0735510280338865,0.6801626585545042,0.0395,0.027106272336859603,0.8877499999999999,0.033707380497451894,3.9860760280338874,0.6858084388286936,0.26145462100976147,0.0035440406113724896
obs_noise,0,0,0.0,Oracle,6.032684560368851,0.49287239393924676,0.0,0.0,0.9200000000000002,0.01890767040118902,6.016297060368851,0.49200168953068485,1.577666856022006,0.2986051653638361
obs_noise,0,0,0.0,ProposedV2,5.110736980559105,0.6005815223621733,0.04625,0.024590394466132506,0.861,0.027549954627911842,4.9941994805591055,0.6406195321757244,0.21890188202723948,0.11276567500821898
obs_noise,0,0,0.0,Reactive,5.313036927228785,0.4863230616478681,0.0495,0.02553918557824427,0.8474999999999998,0.024672859582950648,5.182836927228784,0.5224784685708859,0.002822307255883061,6.684131460430758e-05
obs_noise,0.02,1,0.02,BeliefAwareRollout,5.29197903242192,0.5174669713429635,0.06575,0.030011456145945335,0.81875,0.03044975369358509,5.127704032421921,0.5664398592473546,0.7156469140118134,0.22475033857751228
obs_noise,0.02,1,0.02,OneStepPredictive,4.0069040393426505,0.6494921390481486,0.03925,0.027671058888304224,0.8935000000000001,0.03324530041975858,3.9199290393426507,0.6522498114791893,0.2622279404922665,0.004655018322899126
obs_noise,0.02,1,0.02,Oracle,6.032684560368851,0.49287239393924676,0.0,0.0,0.9200000000000002,0.01890767040118902,6.016297060368851,0.49200168953068485,1.5673758727398308,0.29486118081323875
obs_noise,0.02,1,0.02,ProposedV2,5.198400531800742,0.5846172325216507,0.052750000000000005,0.024003905932160292,0.8362499999999999,0.019677080576142383,5.064963031800741,0.623906311711973,0.22724496248156356,0.11302872190535326
obs_noise,0.02,1,0.02,Reactive,5.368498204750655,0.48111911589830864,0.05675,0.024200981385059574,0.8244999999999999,0.026358110706194385,5.219523204750655,0.5238824919949949,0.0028397267478794674,9.637770152747264e-05
obs_noise,0.05,2,0.05,BeliefAwareRollout,4.816974908682154,0.4802084465952898,0.11274999999999999,0.03812725403172906,0.74475,0.03140362240251912,4.537737408682153,0.5418190703402892,0.8752707647372517,0.2237376619268138
obs_noise,0.05,2,0.05,OneStepPredictive,4.129701738361281,0.6160526295425426,0.0435,0.026790856649237627,0.8714999999999999,0.03361919094802848,4.031639238361282,0.6169621913115207,0.26261211650398764,0.004565271913596297
obs_noise,0.05,2,0.05,Oracle,6.032684560368851,0.49287239393924676,0.0,0.0,0.9200000000000002,0.01890767040118902,6.016297060368851,0.49200168953068485,1.5656626025047444,0.29346002129726534
obs_noise,0.05,2,0.05,ProposedV2,5.040638182375267,0.4973581971321996,0.07100000000000001,0.025670995305986873,0.7972499999999999,0.02159137559304639,4.861588182375268,0.5336249904380854,0.3098291557898847,0.10724251362620904
obs_noise,0.05,2,0.05,Reactive,5.015719637892793,0.47630460092751015,0.09924999999999999,0.034614845081265354,0.7485,0.02460182920028511,4.763219637892793,0.5411941815107747,0.0027897002755707945,6.951589675955477e-05
obs_noise,0.1,3,0.1,BeliefAwareRollout,4.071724332406378,0.3941091401623734,0.16475,0.04621890846828817,0.6707500000000001,0.0323757239301301,3.667749332406376,0.4716766036954188,1.294404953787307,0.22609419109757029
obs_noise,0.1,3,0.1,OneStepPredictive,4.208688264135737,0.563682698467635,0.0505,0.03220636583037583,0.8627499999999999,0.02758962667380624,4.0938507641357385,0.5846273598540637,0.2629612737264324,0.005728407057113354
obs_noise,0.1,3,0.1,Oracle,6.032684560368851,0.49287239393924676,0.0,0.0,0.9200000000000002,0.01890767040118902,6.016297060368851,0.49200168953068485,1.5711165032425924,0.29924437013270216
obs_noise,0.1,3,0.1,ProposedV2,4.623055624378514,0.538997001863076,0.08574999999999999,0.03183060634043908,0.77175,0.03343931069863732,4.4069681243785155,0.5853911173027658,0.45700661979390134,0.07131476864150141
obs_noise,0.1,3,0.1,Reactive,4.170916019910775,0.36262382866895776,0.1785,0.0501023951523278,0.631,0.02681417535558387,3.7307410199107744,0.45797085219314443,0.002857386249161209,0.00010642866233093023
reflection_strength,0.3x,0,0.3,BeliefAwareRollout,4.954304228152993,0.49560490276343305,0.13224999999999998,0.04459470260019681,0.71475,0.03465815199920503,4.642741728152993,0.5770615566876555,0.7019866392674885,0.2068618116759004
reflection_strength,0.3x,0,0.3,OneStepPredictive,4.259390082649273,0.6377195415031056,0.10124999999999999,0.052030640011439415,0.7424999999999999,0.051002450921499846,4.041327582649272,0.6900942815801463,0.26072081349957443,0.0032928400862029233
reflection_strength,0.3x,0,0.3,Oracle,5.9100150590806555,0.5276330175761925,0.03400000000000001,0.022394195676558693,0.8790000000000001,0.02337733945512194,5.8257400590806565,0.5603015944146748,1.5990638669718464,0.3086622785710805
reflection_strength,0.3x,0,0.3,ProposedV2,4.944299428096645,0.577042383843173,0.11400000000000002,0.04797395126524393,0.7390000000000001,0.033414068893207256,4.677486928096646,0.6587357780466297,0.2738011442424977,0.10977988821972427
reflection_strength,0.3x,0,0.3,Reactive,5.006611375620716,0.5137775774837958,0.13325,0.05318070608782851,0.7125,0.04357464859296057,4.689336375620718,0.6085579467079097,0.0029104269824529183,0.00020142031960968803
reflection_strength,0.6x,1,0.6,BeliefAwareRollout,4.944125507385915,0.47673115973545394,0.10800000000000001,0.03487119154832539,0.74025,0.0315228092022269,4.679075507385916,0.5332548341779358,0.7046102137546768,0.21048241977127694
reflection_strength,0.6x,1,0.6,OneStepPredictive,3.9808282722402373,0.6910703904225073,0.061999999999999986,0.04019950248448357,0.8325000000000001,0.04789311015167004,3.8452407722402384,0.7155983567090971,0.26272496303408843,0.005648733535526446
reflection_strength,0.6x,1,0.6,Oracle,5.970501293391358,0.5083101866211976,0.007000000000000001,0.00812403840463596,0.906,0.01593737745050924,5.940188793391357,0.5131386909405793,1.5846222132367984,0.2998864602592325
reflection_strength,0.6x,1,0.6,ProposedV2,4.970890746678881,0.5123913509827813,0.0805,0.028848743473503316,0.7735000000000001,0.020802644062714738,4.769315746678879,0.5549403638046378,0.26565711777038814,0.11055553960166664
reflection_strength,0.6x,1,0.6,Reactive,5.005869366531918,0.49039117470799215,0.10674999999999998,0.04120907060344846,0.7384999999999999,0.03275286247032464,4.739681866531919,0.5607812159854348,0.0028205382304804516,8.126369951932507e-05
reflection_strength,1x,2,1.0,BeliefAwareRollout,4.900206240337914,0.4912822029994126,0.10775000000000001,0.03769864055904404,0.7444999999999999,0.031776563690871305,4.633218740337915,0.5533256769734346,0.7924455787542684,0.2321911406282105
reflection_strength,1x,2,1.0,OneStepPredictive,4.093769650593594,0.6266025636711043,0.042,0.026570660511172847,0.8732499999999999,0.03475899164245132,3.998632150593596,0.6254333404439331,0.2614579322280406,0.0045410169356948455
reflection_strength,1x,2,1.0,Oracle,6.032684560368851,0.49287239393924676,0.0,0.0,0.9200000000000002,0.01890767040118902,6.016297060368851,0.49200168953068485,1.5900924967427272,0.2907578873274408
reflection_strength,1x,2,1.0,ProposedV2,5.06367434712376,0.456734135767503,0.07175,0.026752336346569806,0.793,0.02105943968865269,4.88091184712376,0.4967577765816953,0.28517615350756387,0.11337902358343513
reflection_strength,1x,2,1.0,Reactive,5.010164374112421,0.4857469927120062,0.10575000000000001,0.04246395530329222,0.7415,0.028987066081271506,4.74391437411242,0.5635117435430722,0.0029176547232054872,0.00022202956090779894
reflection_strength,1.5x,3,1.5,BeliefAwareRollout,4.580581795878663,0.4747442261961504,0.11574999999999998,0.04234604467952113,0.7384999999999999,0.028155816450602177,4.291556795878663,0.5388129332181458,1.2024389989792326,0.27823072920121217
reflection_strength,1.5x,3,1.5,OneStepPredictive,4.271215325948338,0.5809300261308303,0.0385,0.027299267389437394,0.89875,0.031299960063872284,4.184202825948338,0.5854080702418689,0.2642279354886341,0.007920690012212515
reflection_strength,1.5x,3,1.5,Oracle,6.095857482228365,0.48040039225288356,0.0,0.0,0.93825,0.017907749719046188,6.079207482228365,0.4795188376513639,1.648730999527288,0.3165274267202709
reflection_strength,1.5x,3,1.5,ProposedV2,5.042272254380177,0.4763305938702383,0.06575,0.024762623043611515,0.8172499999999999,0.018806581294855244,4.8755222543801775,0.506400766687687,0.3805032490145095,0.09961859049023343
reflection_strength,1.5x,3,1.5,Reactive,4.974937891931965,0.4430613792005021,0.10575000000000001,0.04442057518763124,0.73525,0.03014444393250605,4.705162891931966,0.5263265682384739,0.002849515000889369,0.00010389356891886103
