method,seed,episode,average_rate,outage_prob,beam_success_rate,average_return,planning_latency_ms
BeliefAwareRollout,1,1,5.107726840181401,0.07,0.74,4.913726840181404,0.6687535250239307
BeliefAwareRollout,1,2,4.8014011270831505,0.135,0.66,4.4766511270831515,0.7812008601740672
BeliefAwareRollout,1,3,5.179107239337037,0.085,0.76,4.957357239337037,0.7861533399955078
BeliefAwareRollout,2,0,5.384100263915692,0.085,0.76,5.1721002639156906,0.6898618349805474
BeliefAwareRollout,2,1,4.67052529421989,0.15,0.695,4.30977529421989,0.6593541400343383
BeliefAwareRollout,2,2,4.948379776360307,0.12,0.77,4.658129776360306,0.707902340018336
BeliefAwareRollout,2,3,4.014786818302607,0.12,0.78,3.7282868183026086,0.8288002149311069
BeliefAwareRollout,3,0,4.851956614495012,0.115,0.765,4.5784566144950105,1.1233207999703154
BeliefAwareRollout,3,1,4.341167902518347,0.125,0.79,4.047667902518346,0.9813183199457853
BeliefAwareRollout,3,2,5.333124246746192,0.11,0.735,5.062874246746192,0.5542864750259469
BeliefAwareRollout,3,3,5.015581339866436,0.085,0.745,4.789331339866436,0.5836037400331406
BeliefAwareRollout,4,0,5.182445225232858,0.06,0.74,5.010695225232858,0.5822862599143264
BeliefAwareRollout,4,1,5.581189627124747,0.07,0.78,5.39843962712475,0.5721283350703743
BeliefAwareRollout,4,2,4.518520492545821,0.16,0.735,4.145270492545818,1.4428058449266246
BeliefAwareRollout,4,3,4.835518802609026,0.145,0.75,4.487018802609024,0.8154194049529906
