los_confidence_threshold,risk_threshold,path_spread_threshold,seed,avg_rate,outage,beam_success,avg_return,latency_ms,fallback_rate,reactive_guard_rate
0.5,0.35,0.8,1,4.928713322176601,0.0825,0.77875,4.722838322176602,0.32106040000144276,0.4275,0.5725
0.5,0.35,0.8,2,4.9729970947770985,0.07875,0.805,4.777997094777098,0.27751932875219154,0.36625,0.63375
0.5,0.35,0.8,3,4.986284761045142,0.08374999999999999,0.7887500000000001,4.780722261045141,0.30338254750631677,0.40375,0.59625
0.5,0.35,0.8,4,5.216643995412134,0.07375,0.7887500000000001,5.028831495412135,0.2946776287535613,0.39125,0.60875
0.5,0.45,0.2,0,5.125533473172817,0.06125,0.77375,4.958033473172818,0.21298771999624933,0.275,0.725
0.5,0.45,0.2,1,4.959995286694339,0.07875,0.7837500000000001,4.761245286694339,0.34540603376228773,0.4075,0.5925
0.5,0.45,0.2,2,4.9729970947770985,0.07875,0.805,4.778372094777098,0.2816441237547451,0.35625,0.64375
0.5,0.45,0.2,3,4.993886940526426,0.0825,0.7925,4.789886940526425,0.2944593562534692,0.39,0.61
0.5,0.45,0.2,4,5.216779872290617,0.07375,0.7887500000000001,5.028967372290617,0.2877053737557844,0.37875,0.62125
0.5,0.45,0.4,0,5.121653365567717,0.0625,0.7725,4.951278365567718,0.21406769123757385,0.275,0.725
0.5,0.45,0.4,1,4.934639437793692,0.08374999999999999,0.77875,4.725326937793692,0.30774615249129056,0.4075,0.5925
0.5,0.45,0.4,2,4.9729970947770985,0.07875,0.805,4.777997094777098,0.27240406501334746,0.35625,0.64375
0.5,0.45,0.4,3,4.990500588248779,0.08499999999999999,0.7887500000000001,4.781875588248779,0.288611507510268,0.39,0.61
0.5,0.45,0.4,4,5.216779872290617,0.07375,0.7887500000000001,5.028967372290617,0.2873799400123289,0.37875,0.62125
0.5,0.45,0.6,0,5.121653365567717,0.0625,0.7725,4.951278365567718,0.2167814674987767,0.275,0.725
0.5,0.45,0.6,1,4.934639437793692,0.08374999999999999,0.77875,4.725326937793692,0.30781603874174834,0.4075,0.5925
0.5,0.45,0.6,2,4.9729970947770985,0.07875,0.805,4.777997094777098,0.27225259374972666,0.35625,0.64375
0.5,0.45,0.6,3,4.990500588248779,0.08499999999999999,0.7887500000000001,4.781875588248779,0.2923654725020697,0.39,0.61
0.5,0.45,0.6,4,5.216779872290617,0.07375,0.7887500000000001,5.028967372290617,0.28984411875171645,0.37875,0.62125
0.5,0.45,0.8,0,5.121653365567717,0.0625,0.7725,4.951278365567718,0.20951076125300006,0.275,0.725
0.5,0.45,0.8,1,4.934639437793692,0.08374999999999999,0.77875,4.725326937793692,0.30899426623989257,0.4075,0.5925
0.5,0.45,0.8,2,4.9729970947770985,0.07875,0.805,4.777997094777098,0.2696122524952216,0.35625,0.64375
0.5,0.45,0.8,3,4.990500588248779,0.08499999999999999,0.7887500000000001,4.781875588248779,0.29351614874315146,0.39,0.61
0.5,0.45,0.8,4,5.216779872290617,0.07375,0.7887500000000001,5.028967372290617,0.2863872937444967,0.37875,0.62125
0.5,0.55,0.2,0,5.125533473172817,0.06125,0.77375,4.958033473172818,0.20903300750717335,0.27,0.73
0.5,0.55,0.2,1,4.959299093192955,0.07875,0.7837500000000001,4.760549093192956,0.30532243999687125,0.4,0.6
0.5,0.55,0.2,2,4.9679070012245905,0.08,0.8037500000000001,4.770407001224591,0.26218166249407204,0.35125,0.64875
0.5,0.55,0.2,3,4.9815765148026125,0.08625,0.7887500000000001,4.7689515148026125,0.29308875374965737,0.38375,0.61625
0.5,0.55,0.2,4,5.220632790909436,0.07375,0.79,5.032820290909436,0.28160453250279716,0.3725,0.6275
0.5,0.55,0.4,0,5.121653365567717,0.0625,0.7725,4.951278365567718,0.20888431376363314,0.27,0.73
0.5,0.55,0.4,1,4.933943244292308,0.08374999999999999,0.77875,4.724630744292309,0.3025623425099866,0.4,0.6
0.5,0.55,0.4,2,4.9679070012245905,0.08,0.8037500000000001,4.770032001224591,0.26311458500117624,0.35125,0.64875
0.5,0.55,0.4,3,4.9781901625249665,0.08875,0.785,4.760940162524966,0.2921607274879534,0.38375,0.61625
